64.28,871468,29600,64.25,N/A,N/A,57.53,80300,"+0.24 - +0.37%",+0.24,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,0.63,N/A,4.00,N/A,0.00,N/A,182506000,63.70,N/A,N/A,N/A,N/A,N/A,64.53,N/A,N/A,48.51,18.50B,287847000,N/A,2.64B,15.77,+32.51%,67.94,N/A,N/A,7,-3.66,-5.39%,"11:46am - <b>64.28</b>",64.28,N/A,N/A,"63.70 - 64.53",N/A,63.36,60.60,3.68,+6.06%,0.92,+1.45%,"LAFARGE",N/A,64.22,64.04,N/A,"+0.37%",1.42,1.11,"5/8/2015",102.03,N/A,N/A,0.00,N/A,N/A,"LG.PA",N/A,12.99B,0.00,"11:46am",N/A,N/A,N/A,124898,N/A,N/A,"48.51 - 67.94",N/A,N/A,"PAR",N/A
50.80,693238,178700,50.77,N/A,N/A,14.47,206800,"+0.21 - +0.42%",+0.21,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,1.99,N/A,1.00,N/A,0.00,N/A,255002000,50.46,N/A,N/A,N/A,N/A,N/A,51.02,N/A,N/A,36.67,13.53B,266301000,N/A,1.01B,14.12,+38.51%,53.51,N/A,N/A,104,-2.72,-5.08%,"11:46am - <b>50.79</b>",50.79,N/A,N/A,"50.46 - 51.02",N/A,51.40,46.40,4.39,+9.46%,-0.61,-1.19%,"LEGRAND",N/A,50.65,50.58,N/A,"+0.42%",2.94,3.49,"5/29/2014",25.56,N/A,N/A,0.00,N/A,N/A,"LR.PA",N/A,4.58B,0.00,"11:46am",N/A,N/A,N/A,129624,N/A,N/A,"36.67 - 53.51",N/A,N/A,"PAR",N/A
160.85,1001715,247700,160.75,N/A,N/A,43.37,133400,"+1.95 - +1.23%",+1.95,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,11.21,N/A,3.71,N/A,0.00,N/A,268018000,159.30,N/A,N/A,N/A,N/A,N/A,160.95,N/A,N/A,109.41,80.70B,501860000,N/A,6.94B,51.39,+46.97%,175.40,N/A,N/A,50,-14.60,-8.32%,"11:46am - <b>160.80</b>",160.80,N/A,N/A,"159.30 - 160.95",N/A,162.35,149.67,11.13,+7.44%,-1.55,-0.95%,"LVMH",N/A,160.10,158.85,N/A,"+1.23%",2.60,3.66,"4/21/2015",14.34,N/A,N/A,0.00,N/A,N/A,"MC.PA",N/A,30.64B,0.00,"11:46am",N/A,N/A,N/A,179073,N/A,N/A,"109.41 - 175.40",N/A,N/A,"PAR",N/A
101.50,718870,197400,101.40,N/A,N/A,51.21,220000,"+0.20 - +0.20%",+0.20,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,5.45,N/A,1.60,N/A,0.00,N/A,178809000,101.30,N/A,N/A,N/A,N/A,N/A,102.15,N/A,N/A,65.10,18.84B,185726000,N/A,3.15B,36.35,+55.84%,103.40,N/A,N/A,30,-1.95,-1.89%,"11:45am - <b>101.45</b>",101.45,N/A,N/A,"101.30 - 102.15",N/A,96.85,83.35,18.10,+21.71%,4.60,+4.75%,"MICHELIN NOM.",N/A,101.80,101.25,N/A,"+0.20%",0.96,1.98,"5/20/2014",18.61,N/A,N/A,0.00,N/A,N/A,"ML.PA",N/A,19.55B,0.00,"11:45am",N/A,N/A,N/A,88284,N/A,N/A,"65.10 - 103.40",N/A,N/A,"PAR",N/A
10.505,12692006,380900,10.500,N/A,N/A,0.000,348700,"+0.230 - +2.238%",+0.230,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,N/A,N/A,N/A,N/A,0.000,N/A,N/A,10.355,N/A,N/A,N/A,N/A,N/A,10.605,N/A,N/A,7.750,N/A,N/A,N/A,0.00,2.755,+35.548%,11.995,N/A,N/A,1055,-1.490,-12.422%,"10:25am - <b>10.505</b>",10.505,N/A,N/A,"10.355 - 10.605",N/A,18.850,18.850,-8.345,-44.271%,-8.345,-44.271%,"ARCELORMITTAL REG",N/A,10.430,10.275,N/A,"+2.238%",N/A,N/A,"5/8/2015",N/A,N/A,N/A,0.000,N/A,N/A,"MT.PA",N/A,N/A,0.000,"10:25am",N/A,N/A,N/A,5519871,N/A,N/A,"7.750 - 11.995",N/A,N/A,"PAR",N/A
171.30,673258,110700,171.20,N/A,N/A,36.42,28700,"+1.05 - +0.62%",+1.05,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,8.39,N/A,3.35,N/A,0.00,N/A,232631000,170.30,N/A,N/A,N/A,N/A,N/A,171.50,N/A,N/A,117.05,94.89B,554241000,N/A,4.63B,54.15,+46.26%,181.30,N/A,N/A,7,-10.10,-5.57%,"11:46am - <b>171.20</b>",171.20,N/A,N/A,"170.30 - 171.50",N/A,173.19,152.91,18.29,+11.96%,-1.99,-1.15%,"L'OREAL",N/A,170.50,170.15,N/A,"+0.62%",4.19,4.67,"5/5/2015",20.40,N/A,N/A,0.00,N/A,N/A,"OR.PA",N/A,22.53B,0.00,"11:46am",N/A,N/A,N/A,90718,N/A,N/A,"117.05 - 181.30",N/A,N/A,"PAR",N/A
14.34,8646277,1373100,14.33,N/A,N/A,11.16,210300,"-0.13 - -0.90%",-0.13,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,0.35,N/A,N/A,N/A,0.00,N/A,1321958000,14.31,N/A,N/A,N/A,N/A,N/A,14.48,N/A,N/A,10.20,37.96B,2648844000,N/A,11.33B,4.13,+40.49%,16.45,N/A,N/A,7,-2.12,-12.89%,"11:46am - <b>14.33</b>",14.33,N/A,N/A,"14.31 - 14.48",N/A,15.08,14.66,-0.33,-2.26%,-0.75,-4.97%,"ORANGE",N/A,14.45,14.46,N/A,"-0.90%",0.97,1.30,"12/5/2014",40.83,N/A,N/A,0.00,N/A,N/A,"ORA.PA",N/A,39.45B,0.00,"11:46am",N/A,N/A,N/A,2553217,N/A,N/A,"10.20 - 16.45",N/A,N/A,"PAR",N/A
75.15,781914,117300,75.11,N/A,N/A,28.53,90300,"+0.68 - +0.91%",+0.68,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,3.16,N/A,1.97,N/A,0.00,N/A,185896000,74.45,N/A,N/A,N/A,N/A,N/A,75.27,N/A,N/A,49.62,16.03B,213308000,N/A,1.36B,25.52,+51.43%,79.40,N/A,N/A,9,-4.26,-5.37%,"11:45am - <b>75.14</b>",75.14,N/A,N/A,"74.45 - 75.27",N/A,74.01,66.19,8.95,+13.53%,1.13,+1.53%,"PUBLICIS GROUPE",N/A,74.53,74.46,N/A,"+0.91%",2.19,2.61,"6/3/2014",23.78,N/A,N/A,0.00,N/A,N/A,"PUB.PA",N/A,7.26B,0.00,"11:45am",N/A,N/A,N/A,83336,N/A,N/A,"49.62 - 79.40",N/A,N/A,"PAR",N/A
109.80,522945,63000,109.75,N/A,N/A,48.41,55000,"+0.50 - +0.46%",+0.50,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,3.66,N/A,4.23,N/A,0.00,N/A,203570000,109.25,N/A,N/A,N/A,N/A,N/A,109.90,N/A,N/A,82.23,28.97B,263993000,N/A,2.24B,27.52,+33.47%,117.75,N/A,N/A,50,-8.00,-6.79%,"11:46am - <b>109.75</b>",109.75,N/A,N/A,"109.25 - 109.90",N/A,111.93,101.90,7.85,+7.70%,-2.18,-1.95%,"PERNOD RICARD",N/A,109.50,109.25,N/A,"+0.46%",3.61,2.26,"11/13/2014",29.98,N/A,N/A,0.00,N/A,N/A,"RI.PA",N/A,8.00B,0.00,"11:46am",N/A,N/A,N/A,75601,N/A,N/A,"82.23 - 117.75",N/A,N/A,"PAR",N/A
92.35,1226039,50400,92.33,N/A,N/A,83.49,7200,"+1.03 - +1.13%",+1.03,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,6.89,N/A,-10.71,N/A,0.00,N/A,179810000,91.93,N/A,N/A,N/A,N/A,N/A,93.08,N/A,N/A,49.50,27.07B,293166000,N/A,3.27B,42.84,+86.55%,99.19,N/A,N/A,110,-6.85,-6.91%,"11:46am - <b>92.34</b>",92.34,N/A,N/A,"91.93 - 93.08",N/A,90.16,73.88,18.46,+24.98%,2.18,+2.41%,"RENAULT",N/A,92.25,91.31,N/A,"+1.13%",0.65,1.09,"5/12/2014",13.40,N/A,N/A,0.00,N/A,N/A,"RNO.PA",N/A,41.06B,0.00,"11:46am",N/A,N/A,N/A,245730,N/A,N/A,"49.50 - 99.19",N/A,N/A,"PAR",N/A
