FR0000121204;30/04/15;109,00;109,70;107,75;109,60;87178
FR0000121220;24/04/15;91,83;93,19;91,54;92,49;277994
FR0000121220;27/04/15;92,36;93,31;91,30;93,04;180297
FR0000121220;28/04/15;92,77;92,97;90,90;91,47;331410
FR0000121220;29/04/15;91,60;92,79;89,79;89,89;369297
FR0000121220;30/04/15;89,82;91,03;88,77;90,32;408723
FR0000121253;24/04/15;62,20;62,81;62,05;62,62;101739
FR0000121253;27/04/15;62,58;62,94;61,81;62,91;59559
FR0000121253;28/04/15;62,85;62,94;61,97;62,61;79017
FR0000121253;29/04/15;62,77;63,47;61,42;61,42;73336
FR0000121253;30/04/15;61,39;62,07;60,63;60,63;110159
FR0000121261;24/04/15;102,00;103,40;99,41;101,85;881226
FR0000121261;27/04/15;101,50;102,80;100,30;102,50;685009
FR0000121261;28/04/15;102,50;102,70;99,54;100,55;822081
FR0000121261;29/04/15;101,45;101,65;97,88;98,18;920986
FR0000121261;30/04/15;100,00;100,45;98,60;99,67;767638
FR0000121329;24/04/15;55,10;55,50;54,63;55,05;259465
FR0000121329;27/04/15;55,05;55,85;54,70;55,83;299911
FR0000121329;28/04/15;55,76;55,81;54,40;54,72;338339
FR0000121329;29/04/15;54,62;55,11;53,06;53,06;342033
FR0000121329;30/04/15;53,24;54,55;52,49;54,24;601480
FR0000121485;24/04/15;170,30;170,55;167,70;167,90;345644
FR0000121485;27/04/15;168,00;170,65;166,65;170,65;366142
FR0000121485;28/04/15;168,00;172,50;168,00;169,85;568987
FR0000121485;29/04/15;170,85;172,05;169,35;169,50;461552
FR0000121485;30/04/15;169,40;169,65;164,95;165,05;534497
FR0000121501;24/04/15;17,145;17,335;16,90;17,165;5326004
FR0000121501;27/04/15;17,235;17,47;16,865;17,44;4656762
FR0000121501;28/04/15;17,50;17,60;16,995;17,075;5650992
FR0000121501;29/04/15;17,405;17,49;16,335;16,37;8744473
FR0000121501;30/04/15;16,35;17,06;16,155;16,90;7206982
FR0000121634;24/04/15;159,00;160,00;159,00;159,60;10648
FR0000121634;27/04/15;145,85;145,85;142,80;143,45;6722
FR0000121634;28/04/15;143,50;144,50;142,40;142,40;2858
FR0000121634;29/04/15;143,00;143,00;139,50;140,85;3588
FR0000121634;30/04/15;139,50;139,50;135,60;139,00;4890
FR0000121667;24/04/15;113,50;114,20;112,10;114,00;455094
FR0000121667;27/04/15;113,90;115,80;111,95;114,90;475698
FR0000121667;28/04/15;114,35;114,75;110,65;111,85;461559
FR0000121667;29/04/15;112,00;112,95;108,05;108,05;595464
FR0000121667;30/04/15;108,30;109,95;105,15;108,75;680010
FR0000121709;24/04/15;76,76;84,16;76,37;82,84;598010
FR0000121709;27/04/15;81,92;87,66;81,84;87,03;376245
FR0000121709;28/04/15;86,52;87,66;83,51;84,70;245649
FR0000121709;29/04/15;84,70;86,38;84,68;84,70;124459
FR0000121709;30/04/15;84,61;85,31;82,18;82,72;139801
FR0000121725;24/04/15;1150,00;1179,95;1143,00;1166,45;1131
FR0000121725;27/04/15;1151,10;1194,45;1151,10;1180,15;1113
FR0000121725;28/04/15;1180,20;1187,95;1151,05;1161,05;702
FR0000121725;29/04/15;1171,95;1174,85;1142,30;1152,00;954
FR0000121725;30/04/15;1170,00;1205,00;1155,00;1200,00;8621
FR0000121857;24/04/15;299,80;305,00;299,80;305,00;108
FR0000121857;27/04/15;305,00;305,00;305,00;305,00;54
FR0000121857;28/04/15;309,00;309,00;296,22;296,22;10
FR0000121857;29/04/15;296,51;296,51;296,51;296,51;9
FR0000121857;30/04/15;296,24;296,24;296,24;296,24;60
FR0000121881;24/04/15;7,36;7,55;7,32;7,43;624838
FR0000121881;27/04/15;7,42;7,55;7,31;7,50;504368
FR0000121881;28/04/15;7,50;7,50;7,24;7,32;355202
FR0000121881;29/04/15;7,28;7,44;7,21;7,32;661667
FR0000121881;30/04/15;7,48;7,48;7,24;7,44;944723
FR0000121964;24/04/15;44,37;44,37;43,52;43,725;403076
FR0000121964;27/04/15;43,695;44,585;43,305;44,475;395708
FR0000121964;28/04/15;44,485;44,68;43,145;43,205;470062
FR0000121964;29/04/15;43,20;43,69;42,735;42,735;517588
FR0000121964;30/04/15;43,03;43,825;42,68;43,30;841750
FR0000121972;24/04/15;69,68;70,39;68,88;69,40;1655231
FR0000121972;27/04/15;69,56;70,93;68,37;70,65;1645380
FR0000121972;28/04/15;70,45;70,76;68,48;69,17;1590298
FR0000121972;29/04/15;69,27;69,81;66,50;66,88;2436907
FR0000121972;30/04/15;65,39;67,09;64,88;66,84;3160430
FR0000124141;24/04/15;19,12;19,59;19,00;19,565;2631015
FR0000124141;27/04/15;19,59;19,675;19,27;19,625;2422203
FR0000124141;28/04/15;19,615;19,64;19,37;19,545;2533677
FR0000124141;29/04/15;19,515;19,65;18,82;18,90;2793579
FR0000124141;30/04/15;18,855;19,02;18,61;18,92;2838471
FR0000124711;24/04/15;252,40;253,95;250,30;251,75;253581
FR0000124711;27/04/15;252,20;256,25;249,00;255,65;325081
FR0000124711;28/04/15;255,45;256,40;249,80;252,80;348654
